ID,order,family,specie,y,x
3267,Actinopterygii,Cyprinodontiformes,Poecilia,"-22,951","-42,8133"
3259,Actinopterygii,Cyprinodontiformes,Phalloptychus,"-22,951","-42,8133"
1234,Actinopterygii,Pleuronectiformes,Achirus,"-22,9375","-42,7862"
5781,Cichliformes,Cichlidae,Australoheros macacuensis,"-22,5336","-42,9281"
3754,Odonata,Aeshnidae,Gynacantha nervosa,"-22,4714","-42,7576"
3078,Actinopterygii,Cyprinodontiformes,Poecilia,"-22,6042","-43,2211"
5792,Characiformes,Crenuchidae,Characidium vidali,"-22,8125","-42,6569"
76,Trichoptera,Leptoceridae,Atanatolica brasiliana,"-22,9488","-43,286"
3419,Actinopterygii,Cyprinodontiformes,Phalloceros,"-22,6133","-43,4428"
457,Trichoptera,Anomalopsychidae,Sem Informações,"-22,9542","-43,2916"
564,Plecoptera,Perlidae,Sem Informações,"-22,9489","-43,2858"
851,Insecta,Coleoptera,Heterelmis,"-22,9636","-43,2667"
1878,Actinopterygii,Characiformes,Characidium,"-22,4779","-42,6206"
1119,Insecta,Odonata,Macrothemis,"-22,9273","-43,3013"
5739,Cichliformes,Cichlidae,Geophagus brasiliensis,"-22,6928","-42,9553"
6535,Siluriformes,Loricariidae,Pareiorhaphis garbei,"-22,4833","-42,9142"
3414,Actinopterygii,Cyprinodontiformes,Poecilia,"-22,6122","-43,4181"
6041,Siluriformes,Loricariidae,Sem informação,"-22,9683","-43,4942"
850,Insecta,Coleoptera,Heterelmis,"-22,9636","-43,2667"
6359,Siluriformes,Heptapteridae,Pimelodella lateristriga,"-22,5725","-43,1967"
64,Trichoptera,Hydropsychidae,Sem Informações,"-22,9469","-43,2923"
2544,Actinopterygii,Siluriformes,Hypostomus,"-22,6042","-43,2211"
3275,Actinopterygii,Cyprinodontiformes,Poecilia,"-22,951","-42,8133"
2541,Actinopterygii,Siluriformes,Parotocinclus,"-22,6136","-43,2281"
5225,Characiformes,Characidae,Sem informaçao,"-22,5831","-43,4469"
6715,Siluriformes,Trichomycteridae,Trichomycterus paquequerensis,"-22,5831","-43,4469"
1409,Actinopterygii,Atheriniformes,Atherinella,"-22,7147","-43,1319"
5760,Cichliformes,Cichlidae,Geophagus brasiliensis,"-22,5031","-42,894"
3881,Odonata,Aeshnidae,Remartinia luteipennis,"-22,4172","-42,8175"
2179,Actinopterygii,Siluriformes,Pimelodella,"-22,4465","-42,7521"
3310,Actinopterygii,Cyprinodontiformes,Phalloptychus,"-22,9375","-42,7862"
6281,Siluriformes,Loricariidae,Hemipsilichthys gobio,"-22,4989","-42,905"
6970,Siluriformes,Trichomycteridae,Sem informação,"-22,4397","-42,6353"
5289,Cichliformes,Cichlidae,Coptodon rendalli,"-22,7131","-42,9519"
4115,Cyprinodontiformes,Anablepidae,Jenynsia lineata,"-23,0656","-43,5669"
420,Trichoptera,Philopotamidae,Sem Informações,"-22,9489","-43,2858"
6126,Siluriformes,Heptapteridae,Rhamdia quelen,"-22,6","-42,75"
3335,Actinopterygii,Cyprinodontiformes,Poecilia,"-22,9543","-42,695"
5226,Characiformes,Characidae,Oligosarcus hepsetus,"-22,7131","-42,9519"
447,Trichoptera,Hydropsychidae,Smicridea olivacea,"-22,9488","-43,2693"
5510,Cichliformes,Cichlidae,Australoheros macacuensis,"-22,4336","-42,7606"
6085,Siluriformes,Loricariidae,Sem informação,"-22,6167","-42,7167"
1658,Actinopterygii,Siluriformes,Scleromystax,"-22,6042","-43,2211"
4995,Characiformes,Characidae,Sem informaçao,"-22,5622","-43,2561"
5027,Characiformes,Characidae,Bryconamericus ornaticeps,"-22,6211","-43,2419"
1007,Insecta,Odonata,Hetaerina,"-22,959","-43,2774"
3782,Odonata,Aeshnidae,Anax concolor,"-22,4248","-42,743"
6452,Siluriformes,Loricariidae,Sem informação,"-22,4356","-42,7589"
1480,Actinopterygii,Atheriniformes,Atherinella,"-22,9492","-42,704"
2366,Actinopterygii,Siluriformes,Rhamdioglanis,"-22,3948","-42,5736"
3788,Odonata,Aeshnidae,Anax concolor,"-22,5412","-42,8088"
2540,Actinopterygii,Siluriformes,Hypostomus,"-22,6136","-43,2281"
5709,Characiformes,Crenuchidae,Characidium vidali,"-22,4353","-42,7589"
5503,Cichliformes,Cichlidae,Geophagus brasiliensis,"-22,9694","-43,4314"
5195,Characiformes,Characidae,Sem informaçao,"-22,5908","-43,0769"
3252,Actinopterygii,Cyprinodontiformes,Phalloptychus,"-22,945","-42,7507"
4624,Characiformes,Characidae,Sem informaçao,"-22,5911","-43,0906"
