ID_,lat_x,long_y,Familia_,Ordem_
172,-22.78.556,-43.31.167,Alligatoridae,Reptil
173,"-23,024,017",-43.47.075,Alligatoridae,Reptil
174,"-23,016,153","-43,426,208",Alligatoridae,Reptil
175,"-23,018,414","-43,445,164",Alligatoridae,Reptil
176,"-23,016,153","-43,426,208",Alligatoridae,Reptil
177,"-22,538,006","-42,943,153",Alligatoridae,Reptil
178,"-23,016,153","-43,426,208",Alligatoridae,Reptil
179,"-23,016,153","-43,426,208",Alligatoridae,Reptil
180,"-23,016,153","-43,426,208",Alligatoridae,Reptil
181,"-23,016,153","-43,426,208",Alligatoridae,Reptil
182,-22.75,"-433,833,333",Alligatoridae,Reptil
183,"-23,016,153","-43,426,208",Alligatoridae,Reptil
184,"-23,016,153","-43,426,208",Alligatoridae,Reptil
185,-42.6.594.429,-22.48.583.412,Amphisbaenidae,Peixe
186,-44.56.916.667,-22.52.861.111,Callichthyidae,Peixe
187,-44.56.916.667,-22.52.861.111,Cichlidae,Peixe
188,-41.68.333.435,-21.13.333.321,Cichlidae,Peixe
189,-42.12.194.443,-22.38.638.878,Cichlidae,Peixe
190,-43.78.333.333,-22.88.333.333,Cichlidae,Peixe
191,"-411,827,774",-21.38.277.817,Curimatidae,Peixe
192,-43.45.000.076,-22.75,Curimatidae,Peixe
193,"-426,525",-22.45.833.333,Characidae,Peixe
194,"-426,594,429",-22.48.583.412,Characidae,Peixe
195,-42.32.222.366,-22.51.611.137,Characidae,Peixe
196,-42.12.194.443,-22.38.638.878,Characidae,Peixe
197,-41.14.527.893,-21.30.611.038,Characidae,Peixe
198,-41.1.827.774,-21.38.277.817,Characidae,Peixe
199,-41.64.083.481,-22.11.111.069,Characidae,Peixe
200,-41.64.083.481,-22.11.111.069,Characidae,Peixe
201,-42.38.333.333,-22.65,Characidae,Peixe
202,-43.41.833.333,-22.57.277.778,Characidae,Peixe
203,-44.69.749.832,-23.07.638.931,Characidae,Peixe
204,-43.40.000.153,-22.98.333.359,Eleotridae,Peixe
205,-43.40.000.153,-22.98.333.359,Ariidae,Peixe
206,-44.69.389,-23.04.139,Ariidae,Peixe
207,-43.40.000.153,-22.98.333.359,Cichlidae,Peixe
208,-43.40.000.153,-22.98.333.359,Cichlidae,Peixe
209,-43.90.000.153,-22.63.333.321.,Cichlidae,Peixe
210,-42.56.666.565,-21.83.333.397,Cichlidae,Peixe
211,-42.70.000.076,-21.91.666.603,Cichlidae,Peixe
212,-42.6.594.429,-22.48.583.412,Cichlidae,Peixe
213,-42.09.444.427,-22.23..749.924,Cichlidae,Peixe
214,-44.69.388.962,-23.04.138.947,Cichlidae,Peixe
215,-44.6.819.458,"-2,332,916,641",Cichlidae,Peixe
216,-44.71.027.756,-23.29.777.718,Cichlidae,Peixe
217,-44.69.749.832,-23.07.638.931,Cichlidae,Peixe
218,-41.14.527.893,-21.30.611.038,Cichlidae,Peixe
219,"-411,827,774",-21.38.277.817,Cichlidae,Peixe
220,-43.25.555.556,-22.43.416.667,Cichlidae,Peixe
221,-43.56.888.889,-22.60.916.667,Cichlidae,Peixe
222,-42.30.250.168,-22.35.22.22.44,Cichlidae,Peixe
223,-42.64.888.763,-22.45.111.084,Gymnotidae,Peixe
224,-42.10.499.954,-22.24.277.687,Gymnotidae,Peixe
225,-44.69.388.962,-23.04.138.947,Gymnotidae,Peixe
226,-44.32.083.511,-22.94.694.519,Gymnotidae,Peixe
227,-44.76.388.931,-23.22.361.183,Gymnotidae,Peixe
228,-43.39.055.556,-22.48.22.22.22.,Gymnotidae,Peixe
229,-43.81.666.565,-22.46.666.718,Gymnotidae,Peixe
230,-44.69.277.954,-23.04.138.947,Loricariidae,Peixe
231,-44.79.111.099,-23.21..416.664,Loricariidae,Peixe
232,-44.79.111.099,-23.21..416.664,Loricariidae,Peixe
233,-44.79.388.809,-23.20.916.748,Loricariidae,Peixe
234,-44.76.555.634,-23.31.305.504,Loricariidae,Peixe
235,-42.6.594.429,-22.48.583.412,Loricariidae,Peixe
236,-42.12.194.443,-22.38.638.878,Loricariidae,Peixe
237,-42.32.222.366,-22.51.611.137,Loricariidae,Peixe
238,-41.96.666.718,-22.25,Loricariidae,Peixe
239,-42.33.333.206,-22.53.333.282,Loricariidae,Peixe
240,-42.33.333.206,-22.53.333.282,Trichomycteridae,Peixe
241,-42.65.000.153,-22.48.333.359,Trichomycteridae,Peixe
242,-43.90.000.153,-22.63.333.321.,Trichomycteridae,Peixe
243,-41.14.527.893,-21.30.611.038,Erythrinidae,Peixe
244,-43.56.888.889,-22.60.916.667,Erythrinidae,Peixe
245,-41.64.083.481,-22.11.111.069,Erythrinidae,Peixe
246,"-411,827,774",-21.38.277.817,Characidae,Peixe
247,-41.33.333.333,-21.56.666.667,Characidae,Peixe
248,-42.56.666.565,-21.83.333.397,Anostomidae,Peixe
249,-43.60.555.556,-22.49,Loricariidae,Peixe
250,-43.81.666.565,"-22,246,666,718",Loricariidae,Peixe
251,-43.40.000.153,"-22,298,333,359",Loricariidae,Peixe
252,-42.63.333.511,-22.25,Anablepidae,Peixe
253,-44.76.305.389,"-22,324,083,328",Loricariidae,Peixe
254,-44.79.111.099,"-22,321,416,664",Loricariidae,Peixe
255,-44.76.610.947,"-223,222,611,046",Loricariidae,Peixe
256,-43.39.055.556,-22.248.22.22.22.2,Loricariidae,Peixe
257,-43.26.805.556,"-22,248,083,333",Loricariidae,Peixe
258,-43.56.888.889,"-22,260,916,667",Loricariidae,Peixe
259,-43.46.861.111,"-22,257",Loricariidae,Peixe
260,"-43,465","-22,256,194,444",Loricariidae,Peixe
261,"-43,465","-22,256,194,444",Loricariidae,Peixe
262,-42.6,"-228,667",Loricariidae,Peixe
263,-43.40.000.153,-22.98.333.359,Rivulidae,Peixe
264,-43.42..916.667,-22.65.833.333,Rivulidae,Peixe
265,"-4,264,888,763",-22.45.111.084,Rivulidae,Peixe
266,-42.6.59442.9,-22.48.583.412,Characidae,Peixe
267,-42.32.222.366,-22.51.611.137,Characidae,Peixe
268,-42.95.916.748,-22.45.499.992,Characidae,Peixe
269,-42.65.000.153,-22.46.666.718,Characidae,Peixe
270,-43.31.611.111,-22.58,Characidae,Peixe
271,-43.41..833.333,-22.57.277.778,Characidae,Peixe
272,-43.52.555.556,-22.63.888.889,Characidae,Peixe
273,-43.36.388.889,"-22,575",Characidae,Peixe
274,-43.56.888.889,-22.60.916.667,Characidae,Peixe
275,-42.30.250.168,-223.5.2222.44,Characidae,Peixe
276,-42.10.499.954,-22.24.277.687,Loricariidae,Peixe
277,-42.15.611.267,-22.28.138.924,Loricariidae,Peixe
278,-42.12.722.397,-22.22.916.603,Loricariidae,Peixe
279,-42.09.44442.7,-22.23.749.924,Loricariidae,Peixe
280,-42.65.000.153,-22.46.666.718,Loricariidae,Peixe
281,-42.71.666.718,-223.9.999.962,Loricariidae,Peixe
282,-42.48.4443.66,-223.9.111.137,Loricariidae,Peixe
283,-42.45.833.206,-223.6.833.382,Loricariidae,Peixe
284,-42.53.305.43.5,-22.26.638.794,Loricariidae,Peixe
285,-43.39.055.556,-22.48.2222.22,Loricariidae,Peixe
286,-4479.41.6.667,-23.20.944.444,Loricariidae,Peixe
287,-41.33.333.333,-21.56.666.667,Loricariidae,Peixe
288,-43.56.888.889,-22.60.916.667,Characidae,Peixe
289,-41.31.666.565,-21.28.333.282,Characidae,Peixe
290,-43.88.944444,-22.49.694.444,Loricariidae,Peixe
291,-42.71.666.718,-223.9.999.962,Sciaenidae,Peixe
292,"-4,254,055,405",-22.43.055.534,Loricariidae,Peixe
293,-43.00.388.889,-22.49.111.111,Loricariidae,Peixe
294,-42.55.888.889,-22.523.33.333,Loricariidae,Peixe
295,-44.45.000.076,-22.46.666.718,Loricariidae,Peixe
296,"-4,264,888,763",-22.45.111.084,Loricariidae,Peixe
297,-42.65.000.153,-22.46.666.718,Loricariidae,Peixe
298,-41.96.666.718,-22.25,Loricariidae,Peixe
299,-43.31.611.111,-22.58,Loricariidae,Peixe
300,-43.56.888.889,-22.60.916.667,Loricariidae,Peixe
301,"-4,469,277,954",-23.04.138.947,Loricariidae,Peixe
302,"-4,469,388,962",-23.04.138.947,Poeciliidae,Peixe
303,"-4,469,749,832",-23.07.638.931,Poeciliidae,Peixe
304,-4474583.43.5,-23.34.111.023,Poeciliidae,Peixe
305,"-4,471,027,756",-23.29.777.718,Poeciliidae,Peixe
306,-42.09.44442.7,-22.23.749.924,Poeciliidae,Peixe
307,-42.32.222.366,-22.51.611.137,Poeciliidae,Peixe
308,-42.10.499.954,-22.24.277.687,Poeciliidae,Peixe
309,"-446,819,458",-23.32.916.641,Poeciliidae,Peixe
310,-42.95.916.748,-22.45.499.992,Poeciliidae,Peixe
311,-42.78.333.282,-22.03.333.282,Poeciliidae,Peixe
312,"-4,114,527,893",-21.30.611.038,Poeciliidae,Peixe
313,"-4,479,388,809",-23.20.916.748,Poeciliidae,Peixe
314,-42.70.000.076,-21.91.666.603,Poeciliidae,Peixe
315,-42.78.333.333,-22.03.333.333,Poeciliidae,Peixe
316,-42.6.594.429,-22.48.583.412,Poeciliidae,Peixe
317,-42.6.594.429,-22.48.583.412,Poeciliidae,Peixe
318,-43.40.000.153,-22.98.333.359,Poeciliidae,Peixe
319,-43.40.000.153,-22.98.333.359,Poeciliidae,Peixe
320,-43.40.000.153,-22.98.333.359,Poeciliidae,Peixe
321,-42.56.666.565,-21.83.333.397,Poeciliidae,Peixe
322,-42.32.222.366,-22.51.611.137,Heptapteridae,Peixe
323,-41.71.666.718,-22.04.999.924,Heptapteridae,Peixe
324,-44..08.333.206,-22.51.666.641,Heptapteridae,Peixe
325,-43.90.000.153,-22.63.333.321,Pimelodidae,Peixe
326,-42.56.666.565,-21.83.333.397,Poeciliidae,Peixe
327,-43.81.666.565,-22.46.666.718,Poeciliidae,Peixe
328,-42.6.5944.2.9,-22.48.583.412,Poeciliidae,Peixe
329,"-4,264,888,763",-22.45.111.084,Poeciliidae,Peixe
330,-43.71.666.718,-22.26.666.641,Poeciliidae,Peixe
331,-43.31.611.111,-22.58,Poeciliidae,Peixe
332,-43.36.388.889,"-22,575",Poeciliidae,Peixe
333,-43.56.888.889,-22.60.916.667,Poeciliidae,Peixe
334,-43.40.000.153,-22.98.333.359,Poeciliidae,Peixe
335,-41.31.666.565,-21.28.333.282,Poeciliidae,Peixe
336,"-4,164,083,481",-221.1.111.069,Poeciliidae,Peixe
337,"-4,114,527,893",-21.30.611.038,Poeciliidae,Peixe
338,-41.1.827.774,-21.38.277.817,Poeciliidae,Peixe
339,-44..1.7.027.778,-22.60.027.778,Poeciliidae,Peixe
340,-44..3.4500.122,-22.91.527.748,Characidae,Peixe
341,-42.30.250.168,-22.35.2222.44,Syngnathidae,Peixe
342,"-4,264,888,763",-22.45.111.084,Heptapteridae,Peixe
343,-42.65.000.153,-22.46.666.718,Heptapteridae,Peixe
344,"-4,354,805,556",-22.52.777.778,Heptapteridae,Peixe
345,-43.41..666.667,-22.48.277.778,Heptapteridae,Peixe
346,-42.21.666.718,-22.38.333.321,Heptapteridae,Peixe
347,-42.30.250.168,-22.35.2222.44,Loricariidae,Peixe
348,-42.12.722.397,-22.22.916.603,Loricariidae,Peixe
349,-42.09.44.44.2.7,-22.23.749.924,Loricariidae,Peixe
350,"-4,264,888,763",-22.45.111.084,Loricariidae,Peixe
351,-42.10.499.954,-22.24.277.687,Loricariidae,Peixe
352,-42.32.222.366,-22.51.611.137,Loricariidae,Peixe
353,-42.65.000.153,-22.46.666.718,Loricariidae,Peixe
354,-44..3.2.083.511,-22.94.694.519,Loricariidae,Peixe
355,-44..69.749.832,-23.07.638.931,Loricariidae,Peixe
356,-44..3.4500.122,-22.91.527.748,Loricariidae,Peixe
357,-44..6.819.458,-23.32.916.641,Loricariidae,Peixe
358,-44..69.388.962,-23.04.138.947,Loricariidae,Peixe
359,-44..71.027.756,-23.29.777.718,Loricariidae,Peixe
360,-44.2.8.333.282,-22.90.916.634,Loricariidae,Peixe
361,-44.76.610.947,-23.22.611.046,Loricariidae,Peixe
362,-44.79.111.099,-23.21.416.664,Loricariidae,Peixe
363,-41.96.666.718,-22.25,Loricariidae,Peixe
364,-42.66.277.778,-22.56.527.778,Loricariidae,Peixe
365,-43.41..666.667,-22.48.277.778,Loricariidae,Peixe
366,-43.36.388.889,"-22,575",Loricariidae,Peixe
367,-43.31.611.111,-22.58,Loricariidae,Peixe
368,-43.41..833.333,-22.57.277.778,Loricariidae,Peixe
369,-43.56.888.889,-22.60.916.667,Loricariidae,Peixe
370,-42.30.250.168,-22.35.2222.44,Loricariidae,Peixe
371,"-4,264,888,763",-22.45.111.084,Callichthyidae,Peixe
372,-42.32.222.366,-22.51.611.137,Callichthyidae,Peixe
373,-42.65.000.153,-22.46.666.718,Callichthyidae,Peixe
374,-44.3.4500.122,-22.91.527.748,Callichthyidae,Peixe
375,-43.31.611.111,-22.58,Callichthyidae,Peixe
376,-43.41..833.333,-22.57.277.778,Callichthyidae,Peixe
377,-43.56.888.889,-22.60.916.667,Callichthyidae,Peixe
378,-42.65.44.44.44.,-22.46.416.667,Callichthyidae,Peixe
379,-44.3.1.805.556,-23.00.666.667,Callichthyidae,Peixe
380,-41.71.666.718,-22.04.999.924,Callichthyidae,Peixe
381,-42.65.000.153,-22.48.333.359,Callichthyidae,Peixe
382,"-4,264,888,763",-22.45.111.084,Characidae,Peixe
383,-42.95.916.748,-22.45.499.992,Trichomycteridae,Peixe
384,-43.39.055.556,-22.48.2222.22,Trichomycteridae,Peixe
385,-43.95.636.111,-22.91.063.889,Trichomycteridae,Peixe
386,-43.95.636.111,-22.91.063.889,Trichomycteridae,Peixe
387,"-22,579,444","-43,436,111",Trichomycteridae,Peixe
388,"-22,579,167","-43,434,444",Heptapteridae,Peixe
389,"-22,596,667","-43,238,056",Heptapteridae,Peixe
390,"-22,604,167","-43,221,111",Heptapteridae,Peixe
391,"-22,557,222","-43,277,222",Heptapteridae,Peixe
392,"-22,448,561","-42,983,517",Heptapteridae,Peixe
393,"-22,448,561","-42,983,517",Heptapteridae,Peixe
394,"-22,835","-43,498,056",Heptapteridae,Peixe
395,"-22,503,889","-42,893,056",Heptapteridae,Peixe
396,"-22,595,833","-43,203,056",Heptapteridae,Peixe
397,"-22,477,917","-42,620,614",Heptapteridae,Peixe
398,"-22,441,889","-42,627,011",Heptapteridae,Peixe
399,"-22,458,333","-42,037,222",Heptapteridae,Peixe
400,"-22,615,244","-42,736,172",Heptapteridae,Peixe
401,"-22,549,444","-43,303,889",Heptapteridae,Peixe
402,"-22,568,889","-43,381,944",Heptapteridae,Peixe
403,"-22,634,722","-43,521,389",Heptapteridae,Peixe
404,"-225,825","-434,375",Heptapteridae,Peixe
405,"-22,589,722","-43,433,333",Heptapteridae,Peixe
406,"-225,925","-43,414,444",Heptapteridae,Peixe
407,"-22,578,056","-43,392,778",Heptapteridae,Peixe
408,"-22,545,556","-43,301,389",Heptapteridae,Peixe
409,"-22,613,331","-43,442,778",Heptapteridae,Peixe
410,"-22,821,389","-43,170,833",Heptapteridae,Peixe
411,"-22,964,294","-43,076,478",Achiridae,Peixe
412,"-22,882,344","-43,118,933",Achiridae,Peixe
413,"-229,367",-42.7.222,Achiridae,Peixe
414,"-229,367",-42.7.222,Achiridae,Peixe
415,"-229,367",-42.7.222,Achiridae,Peixe
416,"-229,367",-42.7.222,Achiridae,Peixe
417,"-229,367","-428,587",Achiridae,Peixe
418,"-229,375",-42.7.862,Achiridae,Peixe
419,"-229,375",-42.7.862,Achiridae,Peixe
420,"-21,634,444","-42,033,861",Achiridae,Peixe
421,"-21,634,694","-41,761,444",Cichlidae,Peixe
422,"-21,748,528","-42,342,417",Cichlidae,Peixe
423,"-21,748,528","-42,342,417",Cichlidae,Peixe
424,"-21,717,389","-41,924,028",Cichlidae,Peixe
425,"-21,717,389","-41,924,028",Cichlidae,Peixe
426,-21.58,"-42,142,778",Cichlidae,Peixe
427,-21.58,"-42,142,778",Cichlidae,Peixe
428,"-21,717,389","-41,924,028",Cichlidae,Peixe
429,"-21,715,194","-42,342,417",Cichlidae,Peixe
430,"-21,717,389","-41,924,028",Cichlidae,Peixe
431,-21.58,"-42,142,778",Cichlidae,Peixe
432,"-21,634,694","-41,761,444",Cichlidae,Peixe
433,"-21,634,694","-41,761,444",Cichlidae,Peixe
434,"-21,634,444","-42,033,861",Cichlidae,Peixe
435,"-21,634,444","-42,033,861",Cichlidae,Peixe
436,"-21,715,194","-42,342,417",Cichlidae,Peixe
437,"-21,577,167","-41,577,167",Cichlidae,Peixe
438,"-21,577,167","-41,577,167",Engraulidae,Peixe
439,"-21,577,167","-41,577,167",Engraulidae,Peixe
440,"-21,577,167","-41,577,167",Engraulidae,Peixe
441,"-21,577,167","-41,577,167",Engraulidae,Peixe
442,"-21,637,222","-41,757,694",Engraulidae,Peixe
443,"-21,637,222","-41,757,694",Engraulidae,Peixe
444,"-21,637,222","-41,757,694",Engraulidae,Peixe
445,"-21,637,222","-41,757,694",Engraulidae,Peixe
446,"-21,637,222","-41,757,694",Engraulidae,Peixe
447,"-21,637,222","-41,757,694",Engraulidae,Peixe
448,"-21,637,222","-41,757,694",Engraulidae,Peixe
449,"-21,637,222","-41,757,694",Engraulidae,Peixe
450,"-21,637,222","-41,757,694",Engraulidae,Peixe
451,"-21,637,222","-41,757,694",Engraulidae,Peixe
