OBJECTID_1,ID,Ordem,Familia,Especie,X,Y
5467,5587,Cichliformes,Cichlidae,Geophagus brasiliensis,"-22,3708","-41,7869"
3871,3961,Characiformes,Anostomidae,Sem informaçao,"-21,8833","-42,6333"
1677,1712,Actinopterygii,Siluriformes,Scleromystax,"-22,4458","-42,2087"
6136,6283,Characiformes,Erythrinidae,Hoplias malabaricus,"-22,3708","-41,7869"
886,916,Actinopterygii,Siluriformes,Trichomycterus,"-22,204175","-42,882731"
2519,2565,Actinopterygii,Siluriformes,Parotocinclus,"-22,2259","-42,0047"
6441,6606,Cyprinodontiformes,Rivulidae,Sem informação,"-22,9833","-43,5667"
5144,5257,Characiformes,Characidae,Astyanax taeniatus,"-22,8867","-42,665"
2664,2714,Actinopterygii,Siluriformes,Rineloricaria,"-22,4789","-42,6572"
4996,5105,Characiformes,Characidae,Hyphessobrycon bifasciatus,"-22,287","-41,714"
830,860,Actinopterygii,Siluriformes,Trichomycterus,"-20,952511","-41,861317"
2878,2943,Actinopterygii,Siluriformes,Kronichthys,"-22,5456","-43,3014"
1624,1659,Actinopterygii,Siluriformes,Corydoras,"-22,5572","-43,2772"
2662,2712,Actinopterygii,Siluriformes,Schizolecis,"-22,4789","-42,6572"
6615,6789,Siluriformes,Pimelodidae,Steindachneridion parahybae,"-21,21","-41,93"
2942,3009,Actinopterygii,Siluriformes,Steindachneridion,"-21,2131","-41,93"
2551,2598,Actinopterygii,Siluriformes,Macrotocinclus,"-22,5406","-42,4317"
5074,5186,Characiformes,Characidae,Sem informaçao,"-22,6139","-43,4111"
2279,2320,Actinopterygii,Siluriformes,Pimelodella,"-22,2373","-42,0556"
6047,6189,Characiformes,Erythrinidae,Hoplias malabaricus,"-22,4188","-41,861"
2422,2465,Actinopterygii,Siluriformes,Hypostomus,"-21,5772","-41,5772"
4794,4895,Characiformes,Characidae,Mimagoniates microlepis,"-22,5944","-43,1317"
5295,5411,Cichliformes,Cichlidae,Geophagus brasiliensis,"-22,2336","-41,5419"
4626,4726,Characiformes,Characidae,Sem informaçao,"-22,6364","-43,6173"
2888,2955,Actinopterygii,Siluriformes,Kronichthys,"-22,5825","-43,4375"
5500,5622,Cichliformes,Cichlidae,Geophagus brasiliensis,"-22,4154","-41,8266"
5033,5143,Characiformes,Characidae,Hyphessobrycon luetkenii,"-22,3708","-41,7869"
2299,2341,Actinopterygii,Siluriformes,Rhamdia,"-21,7485","-42,3424"
3386,3461,Actinopterygii,Characiformes,Prochilodus,"-22,233","-42,0356"
2359,2402,Actinopterygii,Siluriformes,Acentronichthys,"-22,5494","-43,3039"
948,982,Actinopterygii,Siluriformes,Trichomycterus,"-22,556917","-43,1805"
4736,4836,Characiformes,Characidae,Hyphessobrycon bifasciatus,"-22,1772","-41,4106"
2900,2967,Actinopterygii,Siluriformes,Parotocinclus,"-22,5912","-43,4323"
890,920,Actinopterygii,Siluriformes,Trichomycterus,"-22,235706","-42,904231"
5077,5189,Characiformes,Characidae,Sem informaçao,"-22,4353","-42,7589"
5766,5898,Characiformes,Erythrinidae,Sem informação,"-22,2481","-41,7078"
4701,4801,Characiformes,Characidae,Sem informaçao,"-22,1792","-41,675"
5160,5273,Cichliformes,Cichlidae,Geophagus brasiliensis,"-23,0231","-43,5017"
909,939,Actinopterygii,Siluriformes,Trichomycterus,"-22,396642","-42,584036"
1298,1333,Actinopterygii,Characiformes,Hypomasticus,"-21,9647","-41,8361"
5353,5473,Cichliformes,Cichlidae,Geophagus brasiliensis,"-21,3194","-41,3272"
4746,4846,Characiformes,Characidae,Sem informaçao,"-22,5622","-43,2561"
