ID,Nome cientifico,Nome cientifico na base de dados,Nivel taxonomico,Numero de individuos,Filo,Classe,Ordemm,Familia,Genero,Especie,Estado de conservacao,Categoria de Ameaca,Localidade,Municipio,Status de Sensibilidade,Latitude,Longitude
3933,Ozodicera eliana,Ozodicera eliana,Especie,2,Arthropoda,Insecta,Diptera,Tipulidae,Ozodicera,Ozodicera eliana,Especie Nao Ameaçada,Sem Informações,Parque Nacional De Itatiaia,Sem Informações,Especie Nao Sensivel,"-22,358,333","-44,736,667"
3934,Podonomus,Podonomus,Genero,10,Arthropoda,Insecta,Diptera,Chironomidae,Podonomus,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Serra DosÓrgaos,Sem Informações,Especie Nao Sensivel,"-22,449,997","-43,016,664"
3935,Podonomus pepinellii,Podonomus pepinellii,Especie,15,Arthropoda,Insecta,Diptera,Chironomidae,Podonomus,Podonomus pepinellii,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Serra DosÓrgaos,Sem Informações,Especie Nao Sensivel,"-22,381,583","-44,680,444"
3936,Podonomus pepinellii,Podonomus pepinellii,Especie,25,Arthropoda,Insecta,Diptera,Chironomidae,Podonomus,Podonomus pepinellii,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Serra DosÓrgaos,Sem Informações,Especie Nao Sensivel,"-22,358,639","-44,702,028"
3937,Podonomus pepinellii,Podonomus pepinellii,Especie,25,Arthropoda,Insecta,Diptera,Chironomidae,Podonomus,Podonomus pepinellii,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Serra DosÓrgaos,Sem Informações,Especie Nao Sensivel,"-224,505","-43,013,833"
3938,Rheotanytarsus,Rheotanytarsus,Genero,4,Arthropoda,Insecta,Diptera,Chironomidae,Rheotanytarsus,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Serra DosÓrgaos,Sem Informações,Especie Nao Sensivel,"-22,308,639","-44,702,028"
3939,Rheotanytarsus,Rheotanytarsus,Genero,30,Arthropoda,Insecta,Diptera,Chironomidae,Rheotanytarsus,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Serra DosÓrgaos,Sem Informações,Especie Nao Sensivel,"-22,449,997","-43,016,664"
3940,Tipula,Tipula,Genero,1,Arthropoda,Insecta,Diptera,Bibionidae,Tipula,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional De Itatiaia,Sem Informações,Especie Nao Sensivel,"-22,446,944","-44,613,889"
3941,Tipula,Tipula,Genero,1,Arthropoda,Insecta,Diptera,Bibionidae,Tipula,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional De Itatiaia,Sem Informações,Especie Nao Sensivel,"-22,446,944","-44,613,889"
3942,Tipula,Tipula,Genero,2,Arthropoda,Insecta,Diptera,Bibionidae,Tipula,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional De Itatiaia,Sem Informações,Especie Nao Sensivel,"-22,446,944","-44,613,889"
