ID_,x_,y_,coliformes_termotolerantes,ph_,oxigenio_dissolvido,DBO_,temperatura_,nitrogenio_total,fosforo_total_,turbidez_,solidos_dissolvidos_totais
241,"-42,816220","-22,305780","13000,0","6,18","8,37",2,"14,42","0,19","0,003","3,5",75
242,"-42,790550","-22,142030","350000,0","6,96","7,74",4,"17,66","2,27","0,07","29,3",7
243,"-42,679380","-22,053050","160000,0","7,44","8,72",2,"18,36","1,53","0,03","47,4",3
244,"-43,133380","-22,385640","92000,0","6,29","6,68",9,"15,26","2,47","0,12","44,1",88
245,"-42,982850","-22,448160","54000,0","6,45","8,71",2,"13,61","0,24","0,003","2,6",15
246,"-42,733300","-22,263920","160000,0","7,14","8,1",3,"16,05","15,48","0,06","22,4",75
247,"-42,980380","-22,398490","920000,0","6,99","0,42",22,"18,44","9,82","1,01","56,8",87
248,"-43,054960","-22,428650","2300,0","6,52","8,32",1,"14,66","0,3","0,01","2,6",30
249,"-43,203585","-22,477103","7,8","6,1","5,1",4,"16,8","0,2","0,03","<0,1",10
250,"-43,192264","-22,507109",>160000,"6,05","4,42",12,"22,57","3,8","0,31","7,7",98
251,"-43,177401","-22,488937","16000,0","7,12","3,09",7,"20,3","2,8","0,19","2,2",93
252,"-43,151594","-22,474022","9200,0","7,05","4,08",8,"20,8","3,5","0,31",51,77
253,"-43,146821","-22,464186","16000,0","7,23","4,4",6,"20,9","3,7","0,27","45,6",76
254,"-43,143104","-22,457097","16000,0","7,21","4,01",19,"20,7","5,2","0,24","22,3",77
255,"-43,140300","-22,442182","16000,0","6,97","3,37",4,"20,7","3,7","0,3","54,5",82
256,"-43,132677","-22,423199","9200,0","6,98","3,02",7,"20,4","3,6","0,27","56,8",76
257,"-43,135284","-22,403151","1300,0","7,05","4,67",8,"17,7","2,9","0,75","13,6",56
258,"-43,133380","-22,385640",>160000,"7,21","4,1",7,"22,2","0,5","0,06","3,8",35
259,"-43,131041","-22,379071","1600,0","6,92","3,04",6,22,"2,5","0,18","43,8",59
260,"-43,076507","-22,255282","92000,0","6,96","4,89",6,"21,7","2,4","0,79",149,56
261,"-43,104233","-22,231577","24000,0","7,3","4,5",13,"21,8","2,4","0,8","98,3",52
262,"-43,175696","-22,177414","7900,0","7,26","4,9",4,23,"1,9","0,64",131,46
263,"-43,143677","-22,126506","790,0","6,63","5,6",6,"22,1","2,8","0,12","7,1",59
264,"-43,214713","-22,512042","92000,0","6,5","3,83",8,"21,56","6,2","0,56","6,4",130
265,"-43,212466","-22,510962","160000,0","6,59","4,5",7,"21,05","5,6","0,47","5,1",129
266,"-43,194048","-22,506651",>160000,"6,18","4,23",2,"21,4","2,8","0,16","2,2",84
267,"-43,191077","-22,503611","160000,0","6,53","3,71",9,"21,01","7,9","0,66","6,8",175
268,"-43,122150","-22,505673","22,0","6,3","5,4",4,"16,6","0,6","0,08","<0,1",8
269,"-43,149543","-22,497369","16000,0","6,9","6,47",4,"16,3","2,2","<0,003","1,7",58
270,"-43,152666","-22,488358","9200,0","7,17","4,01",5,"19,5","0,7","0,06","2,4",21
271,"-43,094538","-22,462521","230,0","6,92","6,08",4,"14,5","0,4","0,16","1,5",7
272,"-43,115623","-22,449339","16000,0","7,46","5,02",6,"20,1","0,8","0,02","1,8",19
273,"-43,139756","-22,442199","240,0","7,41","3,59",6,"21,4","0,9","0,02","2,1",22
274,"-43,214169","-22,456232","1300,0","7,1","5,97",3,"17,7","1,2","<0,003","4,9",15
275,"-43,238753","-22,428119","790,0","6,87","5,9",3,"17,2","0,8","<0,003",2,19
276,"-43,163897","-22,427182","28000,0","7,17","5,86",2,"17,7","0,6","0,03","3,3",25
277,"-43,139279","-22,414841","920,0","6,99","3,09",6,"21,7","4,1","0,33","83,7",77
278,"-43,054806","-22,429875","79,0","7,25","6,4",4,"14,1","0,3","<0,003","0,3",22
279,"-43,115095","-22,395042","9200,0","7,18","4,29",5,21,"0,5","0,02","6,8",25
280,"-43,115240","-22,379240","16000,0","6,87","4,2",6,"21,3",1,"0,06",3,67
281,"-43,135650","-22,332860","92000,0","7,58","4,4",9,"21,4","1,1","0,16",359,19
282,"-43,093000","-22,285652","13000,0","7,15","4,54",9,"21,4","1,5","0,1","20,4",21
283,"-43,101290","-22,237850",>160000,"7,01","3,8",10,"23,6","2,3","0,14","84,5",90
284,"-43,211069","-22,540816",>1600,"6,12","3,1",4,"18,52","4,1","0,19","<0,1",51
285,"-43,199256","-22,531514","160000,0","6,15","3,9",5,"20,92","6,2","0,61","2,9",105
286,"-43,188525","-22,520682",>160000,"6,58","3,22",29,"21,01","7,3","0,72","24,2",116
287,"-43,185556","-22,517413",>160000,"6,09","2,87",36,"20,86",8,"0,78","76,6",116
288,"-43,183382","-22,516161","160000,0","6,34","3,5",11,"21,4","6,8","0,11","25,1",113
289,"-43,156632","-22,526488",>1600,"7,02","4,71",4,"17,3","0,8","0,06","<0,1",10
290,"-43,169442","-22,522009","92000,0","6,35","3,3",4,"20,24","4,1","0,31","13,8",57
291,"-43,170854","-22,515430",>160000,"6,17","3,8",31,"20,91",4,"0,38","50,1",55
292,"-43,172498","-22,514086",>160000,"6,26","3,95",9,"21,5","4,1","0,33","12,3",55
293,"-43,175656","-22,509450","1300,0","7,4","4,54",9,"18,3","4,7","0,17","10,4",84
294,"-42,983436","-22,448156","92000,0","7,2","5,23",2,"17,2","0,2","0,07","0,6",9
295,"-42,980376","-22,398489","160000,0","6,4","3,1",6,"19,7","3,8","0,27","3,7",73
296,"-42,947235","-22,302648","160000,0","6,75","4,02",6,"20,8","1,1","0,05","14,1",25
297,"-42,874728","-22,360466","330,0","6,97","3,02",4,"21,6","0,3","0,03","5,5",22
298,"-42,816215","-22,305782","540,0","6,66","4,27",6,"19,2","14,6","0,03","3,2",11
299,"-42,733296","-22,263917","16000,0","6,46","4,25",4,"21,8","3,9","0,07","18,8",64
300,"-42,861494","-22,281308","16000,0","7,01","4,4",24,"20,9","1,4","0,11",78,29
301,"-42,917455","-22,249493","16000,0","6,67","3,44",4,"21,2","2,6","0,11","5,4",53
302,"-42,790554","-22,142032","230,0","6,54","5,3",12,"19,7","1,9","0,09","47,6",27
303,"-42,953446","-22,166749","7900,0","6,54","5,29",5,"21,6","2,4","0,05",54,41
304,"-43,020952","-22,215252","13000,0","6,54","4,39",8,"21,2","1,4","0,03","17,2",54
305,"-43,307691","-22,391550","2300,0","6,39","5,73",7,"18,02","1,2","<0,003","16,1",22
306,"-43,185458","-22,322988","13000,0","7,28","3,74",13,"20,9","1,1","0,07","21,8",13
307,"-43,156900","-22,231205","1300,0","6,43","6,84",3,"16,6","0,3","<0,003","7,8",29
308,"-42,618834","-21,910970","4900,0","8,25","4,3",8,"21,2","1,4","0,04","11,5",42
309,"-42,679379","-22,053046","13000,0","7,35","5,41",5,"22,84","2,2","0,03","57,6",42
310,"-42,773504","-22,025760","1300,0","7,08","4,73",6,27,"2,1","0,03","41,9",43
