ID,Nome cientifico,Nome cientifico na base de dados,Nivel taxonomico,Numero de individuos,Filo,Classe,Ordemm,Familia,Genero,Especie,Estado de conservacao,Categoria de Ameaca,Localidade,Municipio,Status de Sensibilidade,Latitude,Longitude
3907,Cloeodes,Cloeodes,Genero,74,Arthropoda,Insecta,Ephemeroptera,Baetidae,Cloeodes,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Estadual Da Pedra Branca,Rio De Janeiro,Especie Nao Sensivel,"-22,936,056","-43,441,333"
3908,Cloeodes,Cloeodes,Genero,3,Arthropoda,Insecta,Ephemeroptera,Baetidae,Cloeodes,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Estadual Da Pedra Branca,Rio De Janeiro,Especie Nao Sensivel,"-22,933,167","-43,448,056"
3909,Cloeodes,Cloeodes,Genero,62,Arthropoda,Insecta,Ephemeroptera,Baetidae,Cloeodes,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Estadual Da Pedra Branca,Rio De Janeiro,Especie Nao Sensivel,"-22,934,889","-434,485"
3910,Cloeodes,Cloeodes,Genero,60,Arthropoda,Insecta,Ephemeroptera,Baetidae,Cloeodes,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Estadual Da Pedra Branca,Rio De Janeiro,Especie Nao Sensivel,"-22,935,611","-43,439,167"
3911,Cloeodes,Cloeodes,Genero,25,Arthropoda,Insecta,Ephemeroptera,Baetidae,Cloeodes,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Estadual Da Ilha Grande,Angra Dos Reis,Especie Nao Sensivel,"-23,182,833","-44,201,306"
3912,Ephemeroptera,Ephemeroptera,Ordem,1,Arthropoda,Insecta,Ephemeroptera,Sem Informações,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Tijuca,Sem Informações,Especie Nao Sensivel,"-22,956,667","-43,278,056"
3913,Ephemeroptera,Ephemeroptera,Ordem,517,Arthropoda,Insecta,Ephemeroptera,Sem Informações,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Reserva BiolÃ³gica De PoÃ§o Das Antas,Silva Jardim,Especie Nao Sensivel,"-22,538,889","-422,925"
3914,Ephemeroptera,Ephemeroptera,Ordem,38,Arthropoda,Insecta,Ephemeroptera,Sem Informações,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Serra DosÓrgaos,Sem Informações,Especie Nao Sensivel,"-22,454,861","-42,999"
3915,Ephemeroptera,Ephemeroptera,Ordem,2,Arthropoda,Insecta,Ephemeroptera,Sem Informações,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Serra DosÓrgaos,Sem Informações,Especie Nao Sensivel,"-22,450,528","-43,013,722"
3916,Ephemeroptera,Ephemeroptera,Ordem,234,Arthropoda,Insecta,Ephemeroptera,Sem Informações,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Pequenos Riachos,Casimiro De Abreu,Especie Nao Sensivel,"-22,480,556","-42,204,167"
