LOCALIDADE,LATITUDE,LONGITUDE,CLASSE,GENERO,FAMILIA,ESPECIE,NUMERO DE REGISTRO NO PORTAL,NOME COMUM,,,,,,,,,,,,,,,,-22.586.156,,Estado/Provincia,,Numero do registro no portal
Citrolandia,-225.325,-42.99,Amphibia,Scinax,Hylidae,Scinax alter,128168,,,,,,,,,,,,,,,,,,,RJ,,128168
Citrolandia,-225.325,-42.99,Amphibia,Euparkerella,Strabomantidae,Euparkerella cochranae,128170,,,,,,,,,,,,,,,,,,,RJ,,128170
Citrolandia,-225.325,-42.99,Amphibia,Dendropsophus,Hylidae,Dendropsophus meridianus,128172,,,,,,,,,,,,,,,,,,,RJ,,128172
Citrolandia,-225.325,-42.99,Amphibia,Dendropsophus,Hylidae,Dendropsophus seniculus,128262,,,,,,,,,,,,,,,,,,,RJ,,128262
Citrolandia,-225.325,-42.99,Amphibia,Aparasphenodon,Hylidae,Aparasphenodon brunoi,128263,,,,,,,,,,,,,,,,,,,RJ,,128263
Citrolandia,-225.325,-42.99,Amphibia,Scinax,Hylidae,Scinax argyreornatus,128264,,,,,,,,,,,,,,,,,,,RJ,,128264
Citrolandia,-225.325,-42.99,Amphibia,Dendropsophus,Hylidae,Dendropsophus meridianus,128265,,,,,,,,,,,,,,,,,,,RJ,,128265
Citrolandia,-225.325,-42.99,Amphibia,Scinax,Hylidae,Scinax humilis,128267,,,,,,,,,,,,,,,,,,,RJ,,128267
Citrolandia,-225.325,-42.99,Amphibia,Physalaemus,Leiuperidae,Physalaemus signifer,128268,,,,,,,,,,,,,,,,,,,RJ,,128268
Citrolandia,-225.325,-42.99,Amphibia,Haddadus,Craugastoridae,Haddadus binotatus,128272,,,,,,,,,,,,,,,,,,,RJ,,128272
Citrolandia,-225.325,-42.99,Amphibia,Leptodactylus,Leptodactylidae,Leptodactylus spixi,128276,,,,,,,,,,,,,,,,,,,RJ,,128276
Citrolandia,-225.325,-42.99,Amphibia,Hypsiboas,Hylidae,Hypsiboas semilineatus,128279,,,,,,,,,,,,,,,,,,,RJ,,128279
Citrolandia,-225.325,-42.99,Amphibia,Phyllomedusa,Hylidae,Phyllomedusa rohdei,128285,,,,,,,,,,,,,,,,,,,RJ,,128285
Citrolandia,-225.325,-42.99,Amphibia,Sphaenorhynchus,Hylidae,Sphaenorhynchus planicola,128286,,,,,,,,,,,,,,,,,,,RJ,,128286
Citrolandia,-225.325,-42.99,Amphibia,Scinax,Hylidae,Scinax alter,128288,,,,,,,,,,,,,,,,,,,RJ,,128288
Citrolandia,-225.325,-42.99,Amphibia,Euparkerella,Strabomantidae,Euparkerella cochranae,128290,,,,,,,,,,,,,,,,,,,RJ,,128290
Citrolandia,-225.325,-42.99,Amphibia,Leptodactylus,Leptodactylidae,Leptodactylus ocellatus,128292,,,,,,,,,,,,,,,,,,,RJ,,128292
Citrolandia,-225.325,-42.99,Amphibia,Leptodactylus,Leptodactylidae,Leptodactylus fuscus,128366,,,,,,,,,,,,,,,,,,,RJ,,128366
Citrolandia,-225.325,-42.99,Amphibia,Dendropsophus,Hylidae,Dendropsophus elegans,128370,,,,,,,,,,,,,,,,,,,RJ,,128370
Citrolandia,-225.325,-42.99,Amphibia,Leptodactylus,Leptodactylidae,Leptodactylus spixi,128373,,,,,,,,,,,,,,,,,,,RJ,,128373
Citrolandia,-225.325,-42.99,Amphibia,Hypsiboas,Hylidae,Hypsiboas faber,128374,,,,,,,,,,,,,,,,,,,RJ,,128374
Citrolandia,-225.325,-42.99,Amphibia,Leptodactylus,Leptodactylidae,Leptodactylus marmoratus,128376,,,,,,,,,,,,,,,,,,,RJ,,128376
Citrolandia,-22.656.667,-43.039.719,Amphibia,Euparkerella,Strabomantidae,Euparkerella cochranae,128678,,,,,,,,,,,,,,,,,,,RJ,,128678
Citrolandia,-22.656.667,-43.039.722,Amphibia,Euparkerella,Strabomantidae,Euparkerella cochranae,128687,,,,,,,,,,,,,,,,,,,RJ,,128687
